Date,"('value', 'sum')","('value', 'mean')","('value', 'std')",Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2011-01-18,107851.52699884029,70.03345909015603,625.3760770325543,0.3495,0.3495,0.305,0.31299,15671.51,4950.51,0.32
2011-01-19,71437.09499850014,45.32810596351531,279.63770895306175,0.31299,0.31299,0.305,0.31299,7291.63,2247.62,0.31
2011-01-20,73330.69234713007,44.79578029757487,308.31365433003435,0.31299,0.39,0.31,0.39,19881.98,6900.05,0.35
2011-01-21,71096.15083535037,35.61931404576672,180.8561186470682,0.39,0.44,0.368,0.41991000000000006,8477.55,3351.62,0.4
2011-01-22,62841.48304150026,27.45368415967683,109.53011244870915,0.41991000000000006,0.4443,0.39,0.4443,10534.27,4513.91,0.43
2011-01-23,89470.5154455998,44.914917392369375,417.7508598201289,0.4443,0.4443,0.42,0.4424,1148.4,505.83,0.44
2011-01-24,90350.45505314009,42.160734975800324,249.82325919518888,0.4424,0.4424,0.381,0.4199,11061.94,4516.68,0.41
2011-01-25,52855.85588785024,34.614181982875074,94.96645952777712,0.4199,0.425,0.4,0.41,2163.72,901.25,0.42
2011-01-26,506910.6199999994,315.63550435865466,9990.550047606714,0.41,0.42,0.3904,0.41700000000000004,15564.81,6315.95,0.41
2011-01-27,610096.3890591974,415.5969952719328,8551.712369366498,0.41700000000000004,0.45,0.40851,0.4212,27708.2,12086.9,0.44
2011-01-28,56527.850000000275,26.206699119147093,110.37471852498835,0.4212,0.446,0.4212,0.446,5324.5,2301.77,0.43
2011-01-29,72039.71195608027,34.029150664185295,253.52597799748185,0.446,0.445,0.43,0.439,1448.38,643.63,0.44
2011-01-30,465208.1986804029,86.97105976451728,133.05658566622213,0.439,0.48,0.445,0.4799,10383.59,4775.81,0.46
2011-01-31,140191.6709111299,81.03564792550863,584.3557675825826,0.4799,0.95,0.47,0.5200100000000001,63516.08,32708.4,0.51
2011-02-01,168518.70183824928,91.78578531495059,536.1157234275449,0.5200100000000001,0.85,0.5201100000000001,0.7,31562.12,23264.18,0.74
2011-02-02,91419.21817974988,64.51603258980231,520.8661893685811,0.7,0.7600100000000001,0.69,0.716,5627.48,4126.02,0.73
2011-02-03,56018.79461070997,42.5028790673065,163.8487036918519,0.716,0.75,0.6501,0.69,8524.5,6064.12,0.71
2011-02-04,78834.38695065008,50.27703249403704,196.3105051009681,0.69,0.88,0.67,0.8109999999999999,42222.19,33965.74,0.8
2011-02-05,79704.41177318995,55.27351717974337,405.3425218179234,0.8109999999999999,0.92,0.8115,0.92,15786.81,13634.2,0.86
2011-02-06,65431.67112367994,48.25344478147488,376.86370420737757,0.92,0.92,0.83,0.8996799999999999,8744.11,7608.77,0.87
2011-02-07,173457.23041571,114.49322139650825,1700.7452873938091,0.8996799999999999,0.9,0.83,0.89,2264.28,1949.54,0.86
2011-02-08,80566.90742360007,52.04580582919901,411.2623362756591,0.89,0.9179999999999999,0.8617,0.9179999999999999,7021.29,6306.77,0.9
2011-02-09,159572.76943213012,67.01922277703912,338.09149064799743,0.9179999999999999,1.09,0.82,1.09,49632.5,47455.01,0.96
2011-02-10,269874.236954244,64.96731751426192,309.2425067446253,1.09,1.1,0.8,0.98031,26559.64,25568.81,0.96
2011-02-11,217161.22715130288,55.96938844105745,233.8988901261175,0.98031,1.0899,0.9264,1.0700100000000001,13299.18,13213.54,0.99
